organism_name,description
Arabidopsis thaliana,"A small, flowering plant widely used in plant biology research as a model organism. It has a short life cycle and is valued for its small genome size."
Vitis vinifera,"Commonly known as the grapevine, it is cultivated for its fruit, which is used to make wine. It is a deciduous vine with lobed leaves."
Citrus sinensis,Sweet orange is a citrus fruit tree known for its juicy and flavorful oranges. It belongs to the Rutaceae family and is widely grown for its commercial and culinary uses.
Litchi chinensis,"Lychee is a tropical fruit tree native to China. It produces small, rounded fruits with a rough, red outer skin and sweet, translucent flesh inside."
Jasminum sambac,Arabian jasmine is an aromatic flowering plant often used in perfumes and teas. It is valued for its fragrant white flowers.
Malus sieversii,"Wild apple, considered the ancestor of the domesticated apple. It is native to Central Asia and has small, sour apples."
Juglans mandshurica,"Manchurian walnut is a species of walnut tree native to East Asia. It produces large, edible nuts enclosed in a thick, green husk."
Murraya koenigii,"Curry tree is known for its aromatic leaves used in Indian cuisine. It is a small, evergreen tree with pinnate leaves."
Aechmea fasciata,"Silver vase or urn plant is a bromeliad with attractive rosette leaves. It is known for its long-lasting, pink bracts."
Capsicum rhomboideum,"A species of pepper plant, it produces spicy peppers. It belongs to the Solanaceae family."
Triticum turgidum subsp. durum,Durum wheat is used for making pasta. It is a hard wheat with high protein content.
Avena sativa,Common oat is a cereal grain known for its health benefits. It is commonly consumed as oatmeal or used in various food products.
Cenchrus americanus,"Pearl millet is a drought-tolerant cereal crop. It is grown for its small, round grains and is a staple food in some regions."
Secale cereale,"Rye is a cereal grain closely related to wheat and barley. It is used for flour, bread, and other food products."
Trifolium repens,White clover is a common legume in pastures. It is known for its trifoliate leaves and white flower heads.
Arabidopsis arenosa,"A close relative of Arabidopsis thaliana, it is also used in plant research. It is found in various habitats, including rocky areas."
Gossypium herbaceum,Levant cotton is a species of cotton known for its fiber. It is one of the oldest cultivated crops for textile production.
Arabis alpina,Alpine rock cress is a flowering plant found in mountainous regions. It is known for its white flowers and ability to thrive in rocky environments.
Cenchrus purpureus,"Purple fountain grass is a tropical grass species known for its ornamental value. It has feathery, purple flower spikes and is used in landscaping."
Corylus avellana,Common hazel is a deciduous shrub native to Europe and Asia. It produces edible nuts and is often grown for its commercial value.
Ipomoea trifida,Three-lobed morning glory is a species of flowering plant with distinctive three-lobed leaves. It is cultivated for its attractive flowers.
Solanum pennellii,Wild tomato species native to the Americas. It is often used in genetic research and is a relative of the cultivated tomato.
Aegilops umbellulata,Aegilops umbellulata is a wild wheat species. It is part of the gene pool for wheat breeding due to its disease resistance.
Wolffia australiana,"Wolffia australiana is a small, floating aquatic plant commonly known as watermeal. It is one of the smallest flowering plants."
Euphorbia peplus,"Petty spurge is a flowering plant known for its small, inconspicuous flowers. It is often considered a weed."
Quercus variabilis,Chinese cork oak is a deciduous tree species native to East Asia. It is known for its corky bark.
Gossypium bickii,Bastard cotton is a wild relative of cultivated cotton. It is a perennial shrub found in Australia.
Avena longiglumis,Long-glumed oat is a wild oat species. It has elongated glumes and is found in various regions.
Coriaria nepalensis,Nepalese coriaria is a plant species used in traditional medicine. It is known for its anti-inflammatory properties.
Microcos paniculata,Japanese false spiraea is a flowering shrub found in Asia. It has panicles of pink flowers.
Rhododendron vialii,Vial's rhododendron is a species of rhododendron known for its showy purple flowers. It is native to China.
Sherardia arvensis,Field madder is a flowering plant with pink flowers. It is commonly found in agricultural fields.
Scutellaria galericulata,Skullcap is a herbaceous plant known for its use in herbal medicine. It has distinctive helmet-shaped flowers.
Vitis x doaniana,A hybrid grapevine resulting from the cross between Vitis vinifera and a North American species. It is cultivated for grape production.
Gossypium turneri,Turner's cotton is a wild cotton species found in Australia. It is part of the Gossypium genus.
Musa troglodytarum,Troglodytarum banana is a species of wild banana. It is native to Southeast Asia.
Quercus dentata,Japanese emperor oak is a large deciduous tree found in East Asia. It has serrated leaves and acorns.
Sphenostylis stenocarpa,African yam bean is a tropical legume known for its edible tubers. It is cultivated for food.
Ipomoea triloba,Three-lobed morning glory is a species of flowering plant with distinctive three-lobed leaves. It is cultivated for its attractive flowers.
Gossypioides kirkii,Kirk's cotton is a wild cotton species native to Australia. It is part of the Gossypium genus.
Gossypium rotundifolium,Round-leaved cotton is a wild cotton species with rounded leaves. It is found in Australia.
Carpinus viminea,Vine maple is a species of maple tree with vine-like branches. It is native to North America.
Camelina hispida,Hairy canola is a plant species related to canola. It is known for its hairy leaves.
Swietenia macrophylla,Philippine mahogany is a large tropical tree valued for its timber. It is native to Southeast Asia.
Chrysanthemum makinoi,Chrysanthemum-like plant with purple-pink flowers. It is cultivated for ornamental purposes.
Lactuca saligna,Wild lettuce is a biennial plant known for its bitter sap. It has been used traditionally for medicinal purposes.
Khaya senegalensis,Senegal mahogany is a large deciduous tree found in tropical Africa. It is valued for its timber.
Oryza sativa Japonica Group,"Japonica Group rice is a type of rice cultivated in Japan. It is known for its short, round grains."
Zea mays,"Maize, commonly known as corn, is a cereal grain cultivated for its edible kernels. It is a staple food in many cultures."
Solanum lycopersicum,Tomato is a popular fruit-bearing plant cultivated for its edible red or yellow berries. It belongs to the Solanaceae family.
Triticum aestivum,Common wheat species used for making flour and various wheat products. It is a staple food in many cultures.
Glycine max,Soybean is a legume cultivated for its protein-rich seeds. It is used in various food products and animal feed.
Gossypium hirsutum,Upland cotton is a species of cotton known for its fiber. It is one of the most widely cultivated cotton species.
Hordeum vulgare subsp. vulgare,Common barley is a cereal grain cultivated for its edible seeds. It is used in brewing and as a staple food.
Brassica napus,Oilseed rape is a bright-yellow flowering plant cultivated for its oil-rich seeds. It is used in cooking oil production.
Brassica rapa,Field mustard is a cruciferous plant with yellow flowers. It is commonly found in agricultural fields.
Malus domestica,Apple is a fruit-bearing tree cultivated for its sweet or tart fruit. It belongs to the Rosaceae family.
Medicago truncatula,Barrel medic is a leguminous plant used as forage. It is part of the Medicago genus.
Sorghum bicolor,Sorghum is a cereal grain cultivated for its edible seeds. It is a staple food in many regions.
